longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value
-117.25,33.05,16.0,2794.0,476.0,1387.0,442.0,4.3286,6.321266968325792,3.1380090497737556,0.17036506800286327,0,0,0,0,1,213400.0
-118.14,33.76,44.0,1633.0,536.0,741.0,513.0,3.385,3.1832358674463936,1.4444444444444444,0.32823025107164727,0,0,0,0,1,408300.0
-121.89,37.27,28.0,1481.0,256.0,688.0,221.0,5.2088,6.701357466063349,3.1131221719457014,0.17285617825793384,1,0,0,0,0,240900.0
-122.07,37.93,45.0,1544.0,244.0,614.0,238.0,5.0255,6.487394957983193,2.5798319327731094,0.15803108808290156,0,0,0,1,0,226000.0
-118.1,33.84,35.0,1790.0,269.0,924.0,263.0,5.296,6.806083650190114,3.5133079847908744,0.15027932960893856,1,0,0,0,0,226200.0
-119.47,35.4,32.0,2167.0,421.0,1301.0,394.0,1.9718,5.5,3.302030456852792,0.19427780341485926,0,1,0,0,0,69800.0
-117.97,34.09,31.0,2779.0,639.0,2259.0,670.0,3.4032,4.147761194029851,3.3716417910447762,0.22993882691615689,0,1,0,0,0,143400.0
-118.08,33.96,34.0,1431.0,310.0,1162.0,288.0,4.369,4.96875,4.034722222222222,0.21663172606568834,1,0,0,0,0,165400.0
-121.52,39.49,30.0,1217.0,238.0,677.0,233.0,2.6563,5.223175965665236,2.9055793991416308,0.19556285949055052,0,1,0,0,0,63600.0
-121.0,39.26,14.0,810.0,151.0,302.0,138.0,3.1094,5.869565217391305,2.1884057971014492,0.18641975308641975,0,1,0,0,0,136100.0
-117.65,34.1,44.0,2808.0,585.0,1444.0,550.0,2.7159,5.1054545454545455,2.6254545454545455,0.20833333333333334,0,1,0,0,0,139300.0
-121.82,37.36,34.0,1834.0,377.0,1450.0,347.0,3.7188,5.285302593659942,4.178674351585014,0.2055616139585605,1,0,0,0,0,161500.0
-122.33,37.89,42.0,1342.0,291.0,551.0,266.0,4.5268,5.045112781954887,2.0714285714285716,0.21684053651266766,0,0,0,1,0,207400.0
-117.86,33.72,31.0,1194.0,297.0,1602.0,306.0,2.3333,3.9019607843137254,5.235294117647059,0.24874371859296482,1,0,0,0,0,157700.0
-122.79,39.02,23.0,642.0,203.0,265.0,84.0,1.8833,7.642857142857143,3.1547619047619047,0.3161993769470405,0,1,0,0,0,96900.0
